customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,owns_car,tenure,age_class
1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11,70-79
2,Eli,Bockman,Male,81,Administrative Officer,Financial Services,Mass Customer,Yes,16,40-49
3,Arlin,Dearle,Male,61,Recruiting Manager,Property,Mass Customer,Yes,15,70-79
4,Talbot,Talbot,Male,33,Recruiting Manager,IT,Mass Customer,No,7,60-69
5,Sheila-kathryn,Calton,Female,56,Senior Editor,IT,Affluent Customer,Yes,8,40-49
6,Curr,Duckhouse,Male,35,Senior Editor,Retail,High Net Worth,Yes,13,50-59
7,Fina,Merali,Female,6,Senior Editor,Financial Services,Affluent Customer,Yes,11,40-49
8,Rod,Inder,Male,31,Media Manager I,Financial Services,Mass Customer,No,7,60-69
9,Mala,Lind,Female,97,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8,50-59
10,Fiorenze,Birdall,Female,49,Senior Quality Engineer,Financial Services,Mass Customer,Yes,20,30-39
11,Uriah,Bisatt,Male,99,Senior Quality Engineer,Property,Mass Customer,No,9,70-79
12,Sawyere,Flattman,Male,58,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8,30-39
13,Gabriele,Norcross,Male,38,Developer I,Financial Services,High Net Worth,Yes,8,60-69
14,Rayshell,Kitteman,Female,85,Account Executive,Financial Services,Affluent Customer,No,6,40-49
15,Erroll,Radage,Male,91,Junior Executive,Manufacturing,Mass Customer,No,1,20-29
16,Harlin,Parr,Male,38,Media Manager IV,Manufacturing,Mass Customer,Yes,18,40-49
17,Heath,Faraday,Male,57,Sales Associate,Manufacturing,Affluent Customer,Yes,15,60-69
18,Marjie,Neasham,Female,79,Professor,Manufacturing,Affluent Customer,No,11,50-59
19,Sorcha,Keyson,Female,76,Geological Engineer,Manufacturing,High Net Worth,No,1,20-29
20,Basile,Firth,Male,72,Project Manager,Manufacturing,Mass Customer,No,11,40-49
